,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,e1,e3,e5,e7,e11,e13
s1,0,-143,-311,-455,-469,-574,-715,-838,-1076,-1136,-1181,13,-268,-464,-706,-989,-1200
s2,143,0,-168,-312,-326,-431,-572,-695,-933,-993,-1038,156,-125,-321,-563,-846,-1057
s3,311,168,0,-144,-158,-263,-404,-527,-765,-825,-870,324,43,-153,-395,-678,-889
s4,455,312,144,0,-14,-119,-260,-383,-621,-681,-726,468,187,-9,-251,-534,-745
s5,469,326,158,14,0,-105,-246,-369,-607,-667,-712,482,201,5,-237,-520,-731
s6,574,431,263,119,105,0,-141,-264,-502,-562,-607,587,306,110,-132,-415,-626
s7,715,572,404,260,246,141,0,-123,-361,-421,-466,728,447,251,9,-274,-485
s8,838,695,527,383,369,264,123,0,-238,-298,-343,851,570,374,132,-151,-362
s9,1076,933,765,621,607,502,361,238,0,-60,-105,1089,808,612,370,87,-124
s10,1136,993,825,681,667,562,421,298,60,0,-45,1149,868,672,430,147,-64
s11,1181,1038,870,726,712,607,466,343,105,45,0,1194,913,717,475,192,-19
e1,-13,-156,-324,-468,-482,-587,-728,-851,-1089,-1149,-1194,0,-281,-477,-719,-1002,-1213
e3,268,125,-43,-187,-201,-306,-447,-570,-808,-868,-913,281,0,-196,-438,-721,-932
e5,464,321,153,9,-5,-110,-251,-374,-612,-672,-717,477,196,0,-242,-525,-736
e7,706,563,395,251,237,132,-9,-132,-370,-430,-475,719,438,242,0,-283,-494
e11,989,846,678,534,520,415,274,151,-87,-147,-192,1002,721,525,283,0,-211
e13,1200,1057,889,745,731,626,485,362,124,64,19,1213,932,736,494,211,0
