PATH,SOURCE,ROOT,STATIONS
p1,e1,e4,"s1,s2"
p2,e1,e5,"s1,s2"
p3,e1,e6,"s1,s2,s3"
p4,e1,e7,"s1,s2,s3"
p5,e1,e8,"s1,s2,s3,s4"
p6,e1,e9,"s1,s2,s3,s4,s5"
p7,e1,e10,"s1,s2,s3,s4,s5,s6"
p8,e2,e6,"s2,s3"
p9,e2,e7,"s2,s3"
p10,e2,e8,"s2,s3,s4"
p11,e2,e9,"s2,s3,s4,s5"
p12,e2,e10,"s2,s3,s4,s5,s6"
p13,e3,e6,"s2,s3"
p14,e3,e7,"s2,s3"
p15,e3,e8,"s2,s3,s4"
p16,e3,e9,"s2,s3,s4,s5"
p17,e3,e10,"s2,s3,s4,s5,s6"
p18,e4,e1,"s2,s1"
p19,e4,e8,"s3,s4"
p20,e4,e9,"s3,s4,s5"
p21,e4,e10,"s3,s4,s5,s6"
p22,e5,e1,"s2,s1"
p23,e5,e9,"s3,s4,s5"
p24,e5,e10,"s3,s4,s5,s6"
p25,e6,e1,"s3,s2,s1"
p26,e6,e2,"s3,s2"
p27,e6,e3,"s3,s2"
p28,e6,e10,"s4,s5,s6"
p29,e7,e1,"s3,s2,s1"
p30,e7,e2,"s3,s2"
p31,e7,e3,"s3,s2"
p32,e7,e10,"s4,s5,s6"
p33,e8,e1,"s4,s3,s2,s1"
p34,e8,e2,"s4,s3,s2"
p35,e8,e3,"s4,s3,s2"
p36,e8,e4,"s4,s3"
p37,e9,e1,"s5,s4,s3,s2,s1"
p38,e9,e2,"s5,s4,s3,s2"
p39,e9,e3,"s5,s4,s3,s2"
p40,e9,e4,"s5,s4,s3"
p41,e9,e5,"s5,s4,s3"
p42,e10,e1,"s6,s5,s4,s3,s2,s1"
p43,e10,e2,"s6,s5,s4,s3,s2"
p44,e10,e3,"s6,s5,s4,s3,s2"
p45,e10,e4,"s6,s5,s4,s3"
p46,e10,e5,"s6,s5,s4,s3"
p47,e10,e6,"s6,s5,s4"
p48,e10,e7,"s6,s5,s4"
