PATH,SOURCE,ROOT,STATIONS
p1,e1,e3,"s1,s2"
p2,e1,e5,"s1,s2,s3,s4"
p3,e1,e7,"s1,s2,s3,s4,s5,s6"
p4,e1,e11,"s1,s2,s3,s4,s5,s6,s7,s8"
p5,e1,e13,"s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11"
p6,e3,e1,"s2,s1"
p7,e3,e7,"s3,s4,s5,s6"
p8,e3,e11,"s3,s4,s5,s6,s7,s8"
p9,e3,e13,"s3,s4,s5,s6,s7,s8,s9,s10,s11"
p10,e5,e1,"s4,s3,s2,s1"
p11,e5,e7,"s5,s6"
p12,e5,e11,"s5,s6,s7,s8"
p13,e5,e13,"s5,s6,s7,s8,s9,s10,s11"
p14,e7,e1,"s6,s5,s4,s3,s2,s1"
p15,e7,e3,"s6,s5,s4,s3"
p16,e7,e5,"s6,s5"
p17,e7,e11,"s7,s8"
p18,e7,e13,"s7,s8,s9,s10,s11"
p19,e11,e1,"s8,s7,s6,s5,s4,s3,s2,s1"
p20,e11,e3,"s8,s7,s6,s5,s4,s3"
p21,e11,e5,"s8,s7,s6,s5"
p22,e11,e7,"s8,s7"
p23,e11,e13,"s9,s10,s11"
p24,e13,e1,"s11,s10,s9,s8,s7,s6,s5,s4,s3,s2,s1"
p25,e13,e3,"s11,s10,s9,s8,s7,s6,s5,s4,s3"
p26,e13,e5,"s11,s10,s9,s8,s7,s6,s5"
p27,e13,e7,"s11,s10,s9,s8,s7"
p28,e13,e11,"s11,s10,s9"
